CATEGORIES,LOCATION,UID,TRANSP,DTSTART,DTEND,CREATED,LAST-MODIFIED,SUMMARY,DESCRIPTION,COMMENT,XRDDATA,XRDREST,XRDSOURCEID,XRDDOKID,XRDDOKRELID,XRDDTSTARTSTATUS,XRDSOURCE,XRDRM,XRDSORT
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260624ip,TRANSPARENT,20260624T090000,20260624T100000,20251105T155511,20251105T155511,Interpellationsdebatter,"['', '']",,;X-RD-TLISTA:;X-RD-FLISTA:,aktivitetlista/interpellationsdebatt/2026-06-24,d3a145ec-3ce4-4ed5-9326-10e4ddea5494,HDC120260624ip,,,Safir,2025/26,09:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260623ip,TRANSPARENT,20260623T100100,20260623T110100,20251105T155516,20251105T155516,Interpellationsdebatter,"['Ingen starttid', '']",,;X-RD-TLISTA:;X-RD-FLISTA:,aktivitetlista/interpellationsdebatt/2026-06-23,885f97f1-2be1-4188-95d6-773f2ee8b596,HDC120260623ip,,Ingen starttid,Safir,2025/26,10:01:00-1
"kammaren,återrapportering,Information från regeringen,kamm",Kammaren,RDHDC120260623ar,TRANSPARENT,20260623T100000,20260623T110000,20251105T155515,20251105T155515,Återrapportering från Europeiska rådets möte,"['', '']",,;X-RD-TLISTA:;X-RD-FLISTA:,,ea6a0442-56a6-41f3-bbfe-0a4d3d1f9739,HDC120260623ar,,,Safir,2025/26,10:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260622ip,TRANSPARENT,20260622T110000,20260622T120000,20251105T155512,20251105T155512,Interpellationsdebatter,"['', '']",,;X-RD-TLISTA:;X-RD-FLISTA:,aktivitetlista/interpellationsdebatt/2026-06-22,d16656a3-7b4d-44f8-ba3b-5dee027c8554,HDC120260622ip,,,Safir,2025/26,11:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260618ip,TRANSPARENT,20260618T090000,20260618T100000,20251105T155519,20251105T155519,Interpellationsdebatter,"['', '']",,;X-RD-TLISTA:;X-RD-FLISTA:,aktivitetlista/interpellationsdebatt/2026-06-18,efd5eefa-a05d-43ec-b2b6-0928ec179e6c,HDC120260618ip,,,Safir,2025/26,09:00:00-0
"kammaren,interpellationsdebatt,Interpellationsdebatter,kamm",Kammaren,RDHDC120260617ip,TRANSPARENT,20260617T090300,20260617T100300,20260318T123124,20260318T123124,Interpellationsdebatter,"['Ingen starttid', '']",,;X-RD-TLISTA:;X-RD-FLISTA:,aktivitetlista/interpellationsdebatt/2026-06-17,dfe0f0e4-f050-48c6-910d-53e257287dc5,HDC120260617ip,,Ingen starttid,Safir,2025/26,09:03:00-3
"kammaren,avslutning,Övriga aktiviteter,kamm",Kammaren,RDHDC120260617av,TRANSPARENT,20260617T090200,20260617T100200,20260318T123124,20260318T123124,Avslutning,"['Ingen starttid', '']",,;X-RD-TLISTA:;X-RD-FLISTA:,,c3787832-aab0-41aa-8bfc-9aebfd346676,HDC120260617av,,Ingen starttid,Safir,2025/26,09:02:00-2
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260617vo,TRANSPARENT,20260617T090100,20260617T100100,20260318T123124,20260318T123124,Beslut,"['Efter debattens slut', '\\n2025/26:SkU30 Utökade befogenheter inom folkbokföring\\n\\n2025/26:JuU45 Stärkt skydd mot utlänningar som utgör kvalificerade säkerhetshot\\n\\n2025/26:JuU44 En betald polisutbildning\\n\\n2025/26:SfU25 Utdelning av överskott i inkomstpensionssystemet\\n\\n2025/26:FiU24 Uppföljning och utvärdering av Riksbankens penningpolitik 2025\\n\\n2025/26:FiU27 Utvärdering av svensk penningpolitik 2015–2024\\n\\n2025/26:FiU47 Uppskov med behandling av ärenden\\n\\n2025/26:UbU30 Skärpta villkor för friskolesektorn\\n']",,"dok_id{HD01SkU30,HD01JuU45,HD01JuU44,HD01SfU25,HD01FiU24,HD01FiU27,HD01FiU47,HD01UbU30};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-06-17,8b14240d-2ae9-4b98-83ae-04d6b42b591a,HDC120260617vo,,Efter debattens slut,Safir,2025/26,09:01:00-1
"kammaren,arbetsplenum,Debatt och beslut,kamm",Kammaren,RDHDC120260617ap,TRANSPARENT,20260617T090000,20260617T100000,20260318T123124,20260318T123124,Debatt om förslag,"['', '\\n\\n2025/26:SkU30 Utökade befogenheter inom folkbokföring\\n\\n2025/26:JuU45 Stärkt skydd mot utlänningar som utgör kvalificerade säkerhetshot\\n\\n2025/26:JuU44 En betald polisutbildning\\n\\n2025/26:SfU25 Utdelning av överskott i inkomstpensionssystemet\\n\\n2025/26:FiU24 Uppföljning och utvärdering av Riksbankens penningpolitik 2025\\n\\n2025/26:FiU27 Utvärdering av svensk penningpolitik 2015–2024\\n\\n2025/26:FiU47 Uppskov med behandling av ärenden\\n\\n2025/26:UbU30 Skärpta villkor för friskolesektorn\\n\\n']",,"dok_id{HD01SkU30,HD01JuU45,HD01JuU44,HD01SfU25,HD01FiU24,HD01FiU27,HD01FiU47,HD01UbU30};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-06-17,6dae0911-e469-4c39-9863-1d655f5a0260,HDC120260617ap,,,Safir,2025/26,09:00:00-0
"kammaren,votering,Debatt och beslut,kamm",Kammaren,RDHDC120260616vo,TRANSPARENT,20260616T153000,20260616T163000,20260318T123124,20260318T123124,Beslut,"['', '\\n2025/26:KU20 Granskningsbetänkande\\n\\n2025/26:KU11 Justitieombudsmännens ämbetsberättelse\\n\\n2025/26:KU21 Behandlingen av riksdagens skrivelser\\n\\n2025/26:MJU28 Ersättning vid rådighetsinskränkningar till följd av artskyddet\\n\\n2025/26:MJU29 Ett tydligt regelverk för ett aktivt skogsbruk\\n\\n2025/26:FiU45 Stickprovsinsamling av uppgifter om hushållens skulder\\n\\n2025/26:TU24 En statlig e-legitimation och EU:s digitala identitetsplånbok\\n\\n2025/26:SfU33 Skärpt regelverk om utvisning på grund av brott\\n\\n2025/26:FöU19 Kärnämneskontroll och bedömningar av överensstämmelse med säkerhets- och strålskyddskrav i verksamhet med strålning\\n\\n2025/26:FöU20 Förbättrade förutsättningar för operativt militärt samarbete\\n\\n2025/26:AU13 Frihet från våld\\, förtryck och utnyttjande - en nationell strategi mot mäns våld mot kvinnor\\, våld i nära relationer\\, hedersrelaterat våld och förtryck samt utnyttjande i prostitution och människohandel\\n\\n2025/26:TU20 Infrastrukturfrågor\\n\\n2025/26:TU23 Nya regler mot bedrägerier och annat vilseledande genom elektroniska kommunikationstjänster\\n\\n2025/26:FöU21 Personalförsörjning av det civila försvaret\\n\\n2025/26:SfU34 Riksrevisionens rapport om förvar i migrationsprocessen\\n']",,"dok_id{HD01KU20,HD01KU11,HD01KU21,HD01MJU28,HD01MJU29,HD01FiU45,HD01TU24,HD01SfU33,HD01FöU19,HD01FöU20,HD01AU13,HD01TU20,HD01TU23,HD01FöU21,HD01SfU34};X-RD-TLISTA:;X-RD-FLISTA:",aktivitetlista/arbetsplenum/2026-06-16,fe9139ff-887a-4b27-b1b4-5f2b6bb207f7,HDC120260616vo,,,Safir,2025/26,15:30:00-1
