fornamn,efternamn,parti,valkrets,riksdagsstatus,fodelsear,kon,hemort,person_url_xml,bild_url_80
Caroline,Helmersson Olsson,S,Södermanlands län,Tjänstgörande riksdagsledamot,1963,kvinna,,https://data.riksdagen.se/person/ae67201e-c2ea-4c8d-8a62-54f12be55778,https://data.riksdagen.se/filarkiv/bilder/ledamot/ae67201e-c2ea-4c8d-8a62-54f12be55778_80.jpg
Johanna,Haraldsson,S,Jönköpings län,Tjänstgörande riksdagsledamot,1980,kvinna,,https://data.riksdagen.se/person/a1d94b24-2d7f-4d84-99fb-ca161ba77f78,https://data.riksdagen.se/filarkiv/bilder/ledamot/a1d94b24-2d7f-4d84-99fb-ca161ba77f78_80.jpg
Jonas,Andersson,SD,Östergötlands län,Tjänstgörande riksdagsledamot,1989,man,,https://data.riksdagen.se/person/9944df03-e946-4046-aeef-c49117503a0c,https://data.riksdagen.se/filarkiv/bilder/ledamot/9944df03-e946-4046-aeef-c49117503a0c_80.jpg
Nima,Gholam Ali Pour,SD,Malmö kommun,Tjänstgörande riksdagsledamot,1981,man,,https://data.riksdagen.se/person/43254ea9-ce3e-4cd4-a60c-c6216027d61b,https://data.riksdagen.se/filarkiv/bilder/ledamot/43254ea9-ce3e-4cd4-a60c-c6216027d61b_80.jpg
Cecilia,Engström,KD,Skåne läns södra,Tjänstgörande riksdagsledamot,1972,kvinna,,https://data.riksdagen.se/person/6225d351-aa7a-4a12-94a0-084b7077a7af,https://data.riksdagen.se/filarkiv/bilder/ledamot/6225d351-aa7a-4a12-94a0-084b7077a7af_80.jpg
Mattias,Ottosson,S,Östergötlands län,Tjänstgörande riksdagsledamot,1971,man,,https://data.riksdagen.se/person/df8c5ae3-43e8-4d8a-bf64-67b9a78fef66,https://data.riksdagen.se/filarkiv/bilder/ledamot/df8c5ae3-43e8-4d8a-bf64-67b9a78fef66_80.jpg
Christofer,Bergenblock,C,Hallands län,Tjänstgörande riksdagsledamot,1974,man,,https://data.riksdagen.se/person/84cd5a15-44cb-48ed-8433-b907f2d8b8bf,https://data.riksdagen.se/filarkiv/bilder/ledamot/84cd5a15-44cb-48ed-8433-b907f2d8b8bf_80.jpg
Anders,Alftberg,SD,Västra Götalands läns södra,Tjänstgörande riksdagsledamot,1973,man,,https://data.riksdagen.se/person/f0d945f3-9449-458e-ba40-1a0da1a72303,https://data.riksdagen.se/filarkiv/bilder/ledamot/f0d945f3-9449-458e-ba40-1a0da1a72303_80.jpg
Dzenan,Cisija,S,Göteborgs kommun,Tjänstgörande riksdagsledamot,1976,man,,https://data.riksdagen.se/person/16ae6544-53b6-4e7f-be85-4cb7a605bae3,https://data.riksdagen.se/filarkiv/bilder/ledamot/16ae6544-53b6-4e7f-be85-4cb7a605bae3_80.jpg
Marianne,Fundahn,S,Skåne läns södra,Tjänstgörande riksdagsledamot,1958,kvinna,,https://data.riksdagen.se/person/d9f971a1-12ab-4a01-8cb6-2d2d6a9e0791,https://data.riksdagen.se/filarkiv/bilder/ledamot/d9f971a1-12ab-4a01-8cb6-2d2d6a9e0791_80.jpg
Crister,Carlsson,M,Dalarnas län,Tjänstgörande statsrådsersättare,1963,man,,https://data.riksdagen.se/person/392a2ddd-593e-430b-9181-794b99a1ec7c,https://data.riksdagen.se/filarkiv/bilder/ledamot/392a2ddd-593e-430b-9181-794b99a1ec7c_80.jpg
Emma,Ahlström Köster,M,Skåne läns södra,Tjänstgörande riksdagsledamot,1987,kvinna,,https://data.riksdagen.se/person/e09d9076-28c7-4583-a17f-7a776de7f01f,https://data.riksdagen.se/filarkiv/bilder/ledamot/e09d9076-28c7-4583-a17f-7a776de7f01f_80.jpg
